,total_itr,total_mse_norm,total_mse,total_dev_itr,total_dev_mse_norm,total_dev_mse
0,30000,,[],30000,,[]
1,76,0.4952152280774403,[4.746490794540807],78,0.4971965609324294,[4.8405919476975585]
2,748,0.499914810321535,[4.763421492651191],771,0.49984462600441115,[4.849476124537444]
3,7475,0.4999907881643097,[4.763372517004193],7704,0.49995581131559436,[4.849615034417181]
4,30000,0.9447588518205402,[],30000,0.9313579802237606,[]
5,30000,2.3544964167279163,[],30000,2.3114558976510353,[]
6,30000,17.63015762564697,[],30000,17.612718805812634,[]
7,30000,22.477618057891522,[],30000,22.47416840216305,[]
