,total_itr,total_mse,total_dev_itr,total_dev_mse
0,337,,337,
1,24,0.9932891472850449,26,0.9950005857683073
2,227,0.9987636445765972,239,0.9988632995994285
3,2119,0.9998397278647362,2531,0.9999089799380054
4,25073,0.9999872456395881,24034,0.9999812221395427
5,195247,0.9999980640230287,215821,0.9999981779893752
6,2463178,0.9999998603101165,2346646,0.9999998167980269
7,22410803,0.9999999813218221,18543919,0.9999999935172993
